id,label,ontology,synonyms,uri
106004,Structure of posterior carpal region,SNOMED CT,Posterior carpal region,http://purl.bioontology.org/ontology/SNOMEDCT/106004
110001,Structure of visceral layer of Bowman's capsule,SNOMED CT,Visceral layer of Bowman's capsule,http://purl.bioontology.org/ontology/SNOMEDCT/110001
111002,Parathyroid structure,SNOMED CT,Parathyroid|Parathyroid gland,http://purl.bioontology.org/ontology/SNOMEDCT/111002
116007,Subcutaneous tissue structure of medial surface of index finger,SNOMED CT,Subcutaneous tissue of medial surface of index finger,http://purl.bioontology.org/ontology/SNOMEDCT/116007
124002,Structure of coronoid process of mandible,SNOMED CT,Coronoid process of mandible,http://purl.bioontology.org/ontology/SNOMEDCT/124002
155008,Structure of deep circumflex iliac artery,SNOMED CT,Deep circumflex artery of ilium|Deep circumflex iliac artery,http://purl.bioontology.org/ontology/SNOMEDCT/155008
167005,Structure of supraclavicular part of brachial plexus,SNOMED CT,Supraclavicular part of brachial plexus,http://purl.bioontology.org/ontology/SNOMEDCT/167005
202009,Structure of anterior division of renal artery,SNOMED CT,Anterior division of renal artery,http://purl.bioontology.org/ontology/SNOMEDCT/202009
205006,Entire left commissure of aortic valve,SNOMED CT,Left commissure of aortic valve,http://purl.bioontology.org/ontology/SNOMEDCT/205006
206007,Structure of gluteus maximus muscle,SNOMED CT,Gluteus maximus muscle,http://purl.bioontology.org/ontology/SNOMEDCT/206007
221001,"Structure of articular surface, phalanges, of fourth metacarpal bone",SNOMED CT,"Articular surface, phalanges, of fourth metacarpal bone",http://purl.bioontology.org/ontology/SNOMEDCT/221001
227002,Canal of Hering,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/227002
233006,Structure of hepatocolic ligament,SNOMED CT,Hepatocolic ligament,http://purl.bioontology.org/ontology/SNOMEDCT/233006
235004,Structure of superior labial artery,SNOMED CT,Superior labial artery,http://purl.bioontology.org/ontology/SNOMEDCT/235004
246001,Structure of lateral vestibular nucleus,SNOMED CT,Lateral vestibular nucleus,http://purl.bioontology.org/ontology/SNOMEDCT/246001
247005,Structure of mesotympanum,SNOMED CT,Mesotympanum,http://purl.bioontology.org/ontology/SNOMEDCT/247005
251007,Pectoral region structure,SNOMED CT,Pectoral region,http://purl.bioontology.org/ontology/SNOMEDCT/251007
263002,Structure of thoracic spinal nerve,SNOMED CT,Thoracic nerve|Thoracic spinal nerve,http://purl.bioontology.org/ontology/SNOMEDCT/263002
266005,Structure of right lower lobe of lung,SNOMED CT,Right lower lobe of lung|Lower lobe of right lung,http://purl.bioontology.org/ontology/SNOMEDCT/266005
272005,Structure of superior articular process of lumbar vertebra,SNOMED CT,Cranial articular process of lumbar vertebra|Superior articular process of lumbar vertebra,http://purl.bioontology.org/ontology/SNOMEDCT/272005
273000,Structure of lateral myocardium,SNOMED CT,Lateral myocardium,http://purl.bioontology.org/ontology/SNOMEDCT/273000
283001,Structure of central axillary lymph node,SNOMED CT,Central axillary lymph node,http://purl.bioontology.org/ontology/SNOMEDCT/283001
284007,Entire flexor tendon and tendon sheath of fourth toe,SNOMED CT,Flexor tendon and tendon sheath of fourth toe,http://purl.bioontology.org/ontology/SNOMEDCT/284007
289002,Metacarpophalangeal joint structure of index finger,SNOMED CT,Metacarpophalangeal joint of index finger,http://purl.bioontology.org/ontology/SNOMEDCT/289002
301000,Fifth metatarsal structure,SNOMED CT,Fifth metatarsal bone,http://purl.bioontology.org/ontology/SNOMEDCT/301000
311007,Structure of plantar surface of great toe,SNOMED CT,Plantar surface of great toe,http://purl.bioontology.org/ontology/SNOMEDCT/311007
315003,Skin structure of umbilicus,SNOMED CT,Skin of umbilicus,http://purl.bioontology.org/ontology/SNOMEDCT/315003
318001,Structure of cardiac impression of liver,SNOMED CT,Cardiac impression of liver,http://purl.bioontology.org/ontology/SNOMEDCT/318001
344001,Ankle region structure,SNOMED CT,Hock|Ankle,http://purl.bioontology.org/ontology/SNOMEDCT/344001
345000,Atrioventricular bundle structure,SNOMED CT,Penetrating atrioventricular bundle|Bundle of His|Atrioventricular bundle,http://purl.bioontology.org/ontology/SNOMEDCT/345000
356000,Reticular corium,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/356000
373003,Dorsal border of seventeenth rib,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/373003
393006,Structure of wall of urinary bladder,SNOMED CT,Wall of bladder|Wall of urinary bladder,http://purl.bioontology.org/ontology/SNOMEDCT/393006
402006,Structure of dental branch of inferior alveolar artery,SNOMED CT,Dental branches of inferior alveolar artery|Dental branch of inferior alveolar artery,http://purl.bioontology.org/ontology/SNOMEDCT/402006
414003,Gastric fundus structure,SNOMED CT,Fundus of stomach|Fundus|Gastric fundus,http://purl.bioontology.org/ontology/SNOMEDCT/414003
422005,Structure of inferior surface of tongue,SNOMED CT,Inferior surface of tongue|Ventral aspect of tongue|Ventral surface of tongue,http://purl.bioontology.org/ontology/SNOMEDCT/422005
441008,Interdigital gland,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/441008
446003,Structure of trochanteric bursa,SNOMED CT,Trochanteric bursa,http://purl.bioontology.org/ontology/SNOMEDCT/446003
457008,Structure of collateral ligament,SNOMED CT,Collateral ligament,http://purl.bioontology.org/ontology/SNOMEDCT/457008
461002,Structure of lateral corticospinal tract,SNOMED CT,Crossed pyramidal tract|Lateral corticospinal tract,http://purl.bioontology.org/ontology/SNOMEDCT/461002
465006,Structure of ascending frontal gyrus,SNOMED CT,Ascending frontal gyrus structure|Ascending frontal gyrus|Precentral gyrus,http://purl.bioontology.org/ontology/SNOMEDCT/465006
471000,Flexor hallucis longus muscle structure,SNOMED CT,Flexor hallucis longus muscle|Flexor hallucis longus|Flexor hallucis longus in leg,http://purl.bioontology.org/ontology/SNOMEDCT/471000
480000,Cardiopulmonary circulatory system structure,SNOMED CT,Lesser circulation|Cardiopulmonary circulatory system,http://purl.bioontology.org/ontology/SNOMEDCT/480000
485005,Transverse colon structure,SNOMED CT,TC - Transverse colon|Transverse colon,http://purl.bioontology.org/ontology/SNOMEDCT/485005
528006,Structure of costal surface of lung,SNOMED CT,Costal surface of lung,http://purl.bioontology.org/ontology/SNOMEDCT/528006
532000,Caudal frontal sinus,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/532000
552004,Entire vagus nerve parasympathetic fibers to cardiac plexus,SNOMED CT,Vagus nerve parasympathetic fibers to cardiac plexus,http://purl.bioontology.org/ontology/SNOMEDCT/552004
565008,Structure of intervertebral disc space of fifth lumbar vertebra,SNOMED CT,Intervertebral disc space of fifth lumbar vertebra,http://purl.bioontology.org/ontology/SNOMEDCT/565008
582005,Structure of head of phalanx of great toe,SNOMED CT,Head of phalanx of great toe,http://purl.bioontology.org/ontology/SNOMEDCT/582005
587004,Structure of capsule of proximal interphalangeal joint of third toe,SNOMED CT,Capsule of proximal interphalangeal joint of third toe,http://purl.bioontology.org/ontology/SNOMEDCT/587004
589001,Interventricular septum structure,SNOMED CT,Interventricular septum|Ventricular septum,http://purl.bioontology.org/ontology/SNOMEDCT/589001
595000,Structure of palpebral fissure,SNOMED CT,PF - Palpebral fissure|Palpebral fissure,http://purl.bioontology.org/ontology/SNOMEDCT/595000
608002,Subcutaneous tissue structure of philtrum,SNOMED CT,Subcutaneous tissue of philtrum,http://purl.bioontology.org/ontology/SNOMEDCT/608002
630001,Shaft of thirteenth rib,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/630001
635006,Structure of tuberosity of distal phalanx of little toe,SNOMED CT,Tuberosity of distal phalanx of little toe,http://purl.bioontology.org/ontology/SNOMEDCT/635006
650002,Structure of superior articular process of seventh thoracic vertebra,SNOMED CT,Superior articular process of seventh thoracic vertebra|Cranial articular process of seventh thoracic vertebra,http://purl.bioontology.org/ontology/SNOMEDCT/650002
660006,Tracheal mucous membrane,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/660006
661005,Jaw region structure,SNOMED CT,Jaw region|Jaw,http://purl.bioontology.org/ontology/SNOMEDCT/661005
691000,Small intestine submucosa,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/691000
692007,Structure of body of ischium,SNOMED CT,Body of ischium,http://purl.bioontology.org/ontology/SNOMEDCT/692007
774007,Head and neck structure,SNOMED CT,Head and neck|Head and neck region,http://purl.bioontology.org/ontology/SNOMEDCT/774007
790007,Structure of visceral aspect of liver,SNOMED CT,Inferior surface of liver|Visceral surface of liver|Visceral aspect of liver,http://purl.bioontology.org/ontology/SNOMEDCT/790007
808000,Structure of posterior intercostal artery,SNOMED CT,Posterior intercostal arteries|Posterior intercostal artery,http://purl.bioontology.org/ontology/SNOMEDCT/808000
823005,Structure of posterior cervical spinal cord nerve root,SNOMED CT,Posterior cervical spinal cord nerve root,http://purl.bioontology.org/ontology/SNOMEDCT/823005
830004,Structure of spinous process of fifth thoracic vertebra,SNOMED CT,Spinous process of fifth thoracic vertebra,http://purl.bioontology.org/ontology/SNOMEDCT/830004
836005,Structure of oral region of face,SNOMED CT,Circumoral region of face|Perioral region of face|Oral region of face,http://purl.bioontology.org/ontology/SNOMEDCT/836005
885000,Lamina muscularis of colonic mucous membrane,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/885000
895007,Structure of anterior cruciate ligament of knee joint,SNOMED CT,Anterior cruciate ligament of knee joint,http://purl.bioontology.org/ontology/SNOMEDCT/895007
917004,Superior laryngeal aperture structure,SNOMED CT,Superior laryngeal aperture|Laryngeal entrance|Aditus laryngis|Laryngeal inlet,http://purl.bioontology.org/ontology/SNOMEDCT/917004
921006,Structure of thyrohyoid branch of ansa cervicalis,SNOMED CT,Thyrohyoid branch of ansa cervicalis,http://purl.bioontology.org/ontology/SNOMEDCT/921006
947002,Structure of crus of diaphragm,SNOMED CT,Crus of diaphragm,http://purl.bioontology.org/ontology/SNOMEDCT/947002
955009,Bronchial structure,SNOMED CT,Bronchus,http://purl.bioontology.org/ontology/SNOMEDCT/955009
996007,Structure of meningeal branch of occipital artery,SNOMED CT,Meningeal branch of occipital artery|Meningeal branches of occipital artery,http://purl.bioontology.org/ontology/SNOMEDCT/996007
1012000,Structure of fibrous portion of pericardium,SNOMED CT,Fibrous portion of pericardium,http://purl.bioontology.org/ontology/SNOMEDCT/1012000
1015003,Structure of peritonsillar tissue,SNOMED CT,Peritonsillar tissue,http://purl.bioontology.org/ontology/SNOMEDCT/1015003
1016002,Lamina of seventeenth thoracic vertebra,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/1016002
1028005,Sebaceous gland structure,SNOMED CT,Sebaceous gland,http://purl.bioontology.org/ontology/SNOMEDCT/1028005
1030007,Structure of vesicular bursa of sternohyoid muscle,SNOMED CT,Vesicular bursa of sternohyoid muscle,http://purl.bioontology.org/ontology/SNOMEDCT/1030007
1063000,Structure of frontozygomatic suture of skull,SNOMED CT,Frontozygomatic suture of skull,http://purl.bioontology.org/ontology/SNOMEDCT/1063000
1087003,Structure of sternothyroid muscle,SNOMED CT,Sternothyroid muscle,http://purl.bioontology.org/ontology/SNOMEDCT/1087003
1092001,Structure of superior occipital gyrus,SNOMED CT,Superior occipital gyrus,http://purl.bioontology.org/ontology/SNOMEDCT/1092001
1099005,Structure of thymic cortex,SNOMED CT,Thymic cortex,http://purl.bioontology.org/ontology/SNOMEDCT/1099005
1101003,Cranial cavity structure,SNOMED CT,Cranial cavity,http://purl.bioontology.org/ontology/SNOMEDCT/1101003
1106008,Entire major calyx,SNOMED CT,Major calyx,http://purl.bioontology.org/ontology/SNOMEDCT/1106008
1110006,Structure of meibomian gland,SNOMED CT,Sebaceous gland of eyelid|Tarsal gland|Meibomian gland,http://purl.bioontology.org/ontology/SNOMEDCT/1110006
1122009,Structure of inferior longitudinal muscle of tongue,SNOMED CT,Inferior longitudinal muscle of tongue,http://purl.bioontology.org/ontology/SNOMEDCT/1122009
1159005,Structure of frenulum linguae,SNOMED CT,Frenum of tongue|Frenulum linguae,http://purl.bioontology.org/ontology/SNOMEDCT/1159005
1172006,Structure of odontoid process of axis,SNOMED CT,Odontoid process|Odontoid process of axis|Dens axis,http://purl.bioontology.org/ontology/SNOMEDCT/1172006
1173001,Structure of mandibular nerve,SNOMED CT,Mandibular nerve,http://purl.bioontology.org/ontology/SNOMEDCT/1173001
1193009,Structure of teres major muscle,SNOMED CT,Teres major muscle,http://purl.bioontology.org/ontology/SNOMEDCT/1193009
1216008,Synostosis,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/1216008
1231004,Meninges structure,SNOMED CT,Central nervous system meninges|Meninges,http://purl.bioontology.org/ontology/SNOMEDCT/1231004
1236009,Duodenal serosa,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/1236009
1243003,Structure of inferior articular process of sixth cervical vertebra,SNOMED CT,Caudal articular process of sixth cervical vertebra|Inferior articular process of sixth cervical vertebra,http://purl.bioontology.org/ontology/SNOMEDCT/1243003
1246006,Structure of dorsal digital nerves of radial nerve,SNOMED CT,Dorsal digital nerves of radial nerve,http://purl.bioontology.org/ontology/SNOMEDCT/1246006
1277008,Structure of vertebral nerve,SNOMED CT,Vertebral nerve,http://purl.bioontology.org/ontology/SNOMEDCT/1277008
1307006,Glottis structure,SNOMED CT,Glottis,http://purl.bioontology.org/ontology/SNOMEDCT/1307006
1311000,Telogen hair,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/1311000
1350001,Structure of deep flexor tendon of index finger,SNOMED CT,Deep flexor tendon of index finger,http://purl.bioontology.org/ontology/SNOMEDCT/1350001
1353004,Gastric serosa,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/1353004
1403006,Structure of vastus lateralis muscle,SNOMED CT,Vastus lateralis muscle,http://purl.bioontology.org/ontology/SNOMEDCT/1403006
1425000,Structure of posterior limb of stapes,SNOMED CT,Posterior limb of stapes,http://purl.bioontology.org/ontology/SNOMEDCT/1425000
1439000,Structure of paravesicular lymph node,SNOMED CT,Paravesicular lymph node,http://purl.bioontology.org/ontology/SNOMEDCT/1439000
1441004,Structure of ventricle of larynx,SNOMED CT,Ventricle of larynx|Laryngeal saccule|Laryngeal ventricle,http://purl.bioontology.org/ontology/SNOMEDCT/1441004
1456008,Yellow fibrocartilage,SNOMED CT,Fibroelastic cartilage|Yellow fibroelastic cartilage,http://purl.bioontology.org/ontology/SNOMEDCT/1456008
1467009,Structure of parietal branch of superficial temporal artery,SNOMED CT,Posterior temporal branch of superficial temporal artery|Parietal branch of superficial temporal artery,http://purl.bioontology.org/ontology/SNOMEDCT/1467009
1484003,Structure of metatarsal region of foot,SNOMED CT,Metatarsus|Metatarsal region of foot|Metatarsal region,http://purl.bioontology.org/ontology/SNOMEDCT/1484003
1490004,Structure of soft tissues of trunk,SNOMED CT,Soft tissues of trunk,http://purl.bioontology.org/ontology/SNOMEDCT/1490004
1502004,Structure of anterior cecal artery,SNOMED CT,Anterior cecal artery,http://purl.bioontology.org/ontology/SNOMEDCT/1502004
1527006,Structure of lamina of fourth thoracic vertebra,SNOMED CT,Lamina of fourth thoracic vertebra,http://purl.bioontology.org/ontology/SNOMEDCT/1527006
1537001,Intervertebral disc structure of eleventh thoracic vertebra,SNOMED CT,"T11/12 disc|Intervertebral disc, T11-T12|Intervertebral disc of eleventh thoracic vertebra",http://purl.bioontology.org/ontology/SNOMEDCT/1537001
1541002,Structure of coccygeal plexus,SNOMED CT,Coccygeal plexus,http://purl.bioontology.org/ontology/SNOMEDCT/1541002
1562001,Structure of nucleus pulposus of intervertebral disc of third lumbar vertebra,SNOMED CT,"Nucleus pulposus, L3-L4|Nucleus pulposus of intervertebral disc of third lumbar vertebra",http://purl.bioontology.org/ontology/SNOMEDCT/1562001
1569005,Structure of nail of third toe,SNOMED CT,Nail of third toe,http://purl.bioontology.org/ontology/SNOMEDCT/1569005
1570006,Skin structure of palmar area of hand and finger,SNOMED CT,Skin of palmar area of hand and finger,http://purl.bioontology.org/ontology/SNOMEDCT/1570006
1580005,Structure of ventral lateral nucleus of thalamus,SNOMED CT,Ventral lateral nucleus of thalamus|Nucleus ventralis lateralis,http://purl.bioontology.org/ontology/SNOMEDCT/1580005
1581009,Structure of ileal artery,SNOMED CT,Ileal artery|Ileal arteries,http://purl.bioontology.org/ontology/SNOMEDCT/1581009
1600003,Structure of splenius capitis muscle,SNOMED CT,Splenius capitis muscle,http://purl.bioontology.org/ontology/SNOMEDCT/1600003
1610007,Structure of otoconia,SNOMED CT,Otoconia|Otoliths,http://purl.bioontology.org/ontology/SNOMEDCT/1610007
1617005,Structure of intrinsic larynx,SNOMED CT,Intrinsic larynx,http://purl.bioontology.org/ontology/SNOMEDCT/1617005
1626008,Bone structure of T3,SNOMED CT,Third thoracic vertebra|Third dorsal vertebra,http://purl.bioontology.org/ontology/SNOMEDCT/1626008
1627004,Structure of medial collateral ligament of knee joint,SNOMED CT,Medial collateral ligament of knee joint,http://purl.bioontology.org/ontology/SNOMEDCT/1627004
1630006,Structure of supraorbital vein,SNOMED CT,Supraorbital vein,http://purl.bioontology.org/ontology/SNOMEDCT/1630006
1650005,Structure of hilum of left lung,SNOMED CT,Hilum of left lung,http://purl.bioontology.org/ontology/SNOMEDCT/1650005
1655000,Structure of transverse peduncular tract nucleus,SNOMED CT,Transverse peduncular tract nucleus,http://purl.bioontology.org/ontology/SNOMEDCT/1655000
1659006,Structure of dorsomedial nucleus of thalamus,SNOMED CT,Medial dorsal nucleus|Nucleus medialis dorsalis|Dorsomedial nucleus of thalamus,http://purl.bioontology.org/ontology/SNOMEDCT/1659006
1684009,Structure of ligamentum teres of liver,SNOMED CT,Ligamentum teres of liver|Round ligament of liver,http://purl.bioontology.org/ontology/SNOMEDCT/1684009
1706004,Structure of thymic lobule,SNOMED CT,Thymic lobule,http://purl.bioontology.org/ontology/SNOMEDCT/1706004
1707008,Structure of ventral nuclear group of thalamus,SNOMED CT,Ventral nuclear group of thalamus,http://purl.bioontology.org/ontology/SNOMEDCT/1707008
1711002,Periorbital region structure,SNOMED CT,Periorbital region,http://purl.bioontology.org/ontology/SNOMEDCT/1711002
1716007,Cupula ampullaris,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/1716007
1721005,Right faucial tonsil structure,SNOMED CT,Right tonsil|Right faucial tonsil,http://purl.bioontology.org/ontology/SNOMEDCT/1721005
1729007,Structure of central tegmental tract,SNOMED CT,Central tegmental tract|Central tegmental fasciculus of pons,http://purl.bioontology.org/ontology/SNOMEDCT/1729007
1732005,Thoracic duct structure,SNOMED CT,Thoracic duct|TD - Thoracic duct,http://purl.bioontology.org/ontology/SNOMEDCT/1732005
1737004,Guttural pouch,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/1737004
1765002,Structure of lymphatic vessel of thorax,SNOMED CT,Lymphatic of thorax|Lymphatic vessel of thorax|Lymphatics of thorax,http://purl.bioontology.org/ontology/SNOMEDCT/1765002
1781007,Structure of sacroiliac region,SNOMED CT,Sacroiliac region,http://purl.bioontology.org/ontology/SNOMEDCT/1781007
1797002,Structure of anterior naris,SNOMED CT,Nostril|Naris,http://purl.bioontology.org/ontology/SNOMEDCT/1797002
1818002,Structure of greater circulus arteriosus of iris,SNOMED CT,Greater circulus arteriosus of iris,http://purl.bioontology.org/ontology/SNOMEDCT/1818002
1825009,Entire root of nose,SNOMED CT,Root of nose,http://purl.bioontology.org/ontology/SNOMEDCT/1825009
1832000,Structure of bulbar conjunctiva,SNOMED CT,Bulbar conjunctiva|Scleral conjunctiva,http://purl.bioontology.org/ontology/SNOMEDCT/1832000
1840006,Arrector pili muscle structure,SNOMED CT,Arrector pili muscles|Arrector pili muscle,http://purl.bioontology.org/ontology/SNOMEDCT/1840006
1849007,Structure of pharyngeal recess,SNOMED CT,Fossa of Rosenmuller|Pharyngeal recess|Fossa of RosenmÃ¼ller,http://purl.bioontology.org/ontology/SNOMEDCT/1849007
1853009,Structure of suprahyoid muscle,SNOMED CT,Suprahyoid muscles|Suprahyoid muscle,http://purl.bioontology.org/ontology/SNOMEDCT/1853009
1874005,Entire promontory common iliac lymph node,SNOMED CT,Promontory lymph node,http://purl.bioontology.org/ontology/SNOMEDCT/1874005
1893007,Joint structure of shoulder girdle or upper limb,SNOMED CT,Joint of upper extremity,http://purl.bioontology.org/ontology/SNOMEDCT/1893007
1901002,Dorsal sac of rumen,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/1901002
1902009,Skin structure of ear,SNOMED CT,Skin of external ear|Skin of ear,http://purl.bioontology.org/ontology/SNOMEDCT/1902009
1918003,Structure of suprarenal aorta,SNOMED CT,Suprarenal aorta,http://purl.bioontology.org/ontology/SNOMEDCT/1918003
1927002,Entire left elbow region,SNOMED CT,Left elbow,http://purl.bioontology.org/ontology/SNOMEDCT/1927002
1992003,Structure of porus acusticus internus,SNOMED CT,Porus acusticus internus,http://purl.bioontology.org/ontology/SNOMEDCT/1992003
1997009,Structure of cingulum dentis,SNOMED CT,Cingulum dentis,http://purl.bioontology.org/ontology/SNOMEDCT/1997009
2010005,Structure of clavicular facet of scapula,SNOMED CT,Clavicular facet of scapula,http://purl.bioontology.org/ontology/SNOMEDCT/2010005
2020000,Structure of superior thoracic artery,SNOMED CT,Superior thoracic artery,http://purl.bioontology.org/ontology/SNOMEDCT/2020000
2031008,Structure of anterior median fissure of spinal cord,SNOMED CT,Spinal cord ventral median fissure|Spinal cord ventral medial sulcus,http://purl.bioontology.org/ontology/SNOMEDCT/2031008
2044003,Structure of vaginal nerves,SNOMED CT,Vaginal nerves,http://purl.bioontology.org/ontology/SNOMEDCT/2044003
2048000,Lingual tonsil structure,SNOMED CT,Lingual tonsil,http://purl.bioontology.org/ontology/SNOMEDCT/2048000
